colour_name,colour,x,y,latitude,longitude
green,"[96, 184, 23]",1381,1694,53.305010884771264,-6.269765111013266
green,"[96, 184, 23]",1368,1694,53.305011363630136,-6.271153776933837
white,"[255, 255, 255]",1355,1694,53.30501184248901,-6.272542442854409
green,"[96, 184, 23]",1342,1694,53.30501232134788,-6.27393110877498
green,"[96, 184, 23]",1329,1694,53.305012800206754,-6.275319774695552
green,"[96, 184, 23]",1316,1694,53.305013279065626,-6.276708440616123
green,"[96, 184, 23]",1277,1694,53.305014715642244,-6.280874438377837
green,"[96, 184, 23]",1239,1694,53.30501611538356,-6.284933615684123
green,"[96, 184, 23]",1226,1694,53.30501659424243,-6.286322281604694
green,"[96, 184, 23]",1213,1694,53.305017073101304,-6.287710947525266
green,"[96, 184, 23]",1200,1694,53.30501755196018,-6.289099613445837
green,"[96, 184, 23]",1187,1694,53.30501803081905,-6.290488279366408
green,"[96, 184, 23]",1175,1694,53.30501847284262,-6.291770124831551
green,"[96, 184, 23]",1162,1694,53.30501895170149,-6.2931587907521225
green,"[96, 184, 23]",1149,1694,53.305019430560364,-6.294547456672694
green,"[96, 184, 23]",1136,1694,53.30501990941924,-6.2959361225932655
green,"[96, 184, 23]",1123,1694,53.30502038827811,-6.297324788513837
green,"[96, 184, 23]",1110,1694,53.30502086713698,-6.2987134544344086
green,"[96, 184, 23]",1407,1681,53.305839165254405,-6.266986625488453
green,"[96, 184, 23]",1394,1681,53.30583964411328,-6.268375291409025
green,"[96, 184, 23]",1381,1681,53.30584012297215,-6.269763957329596
green,"[96, 184, 23]",1368,1681,53.30584060183102,-6.271152623250167
green,"[96, 184, 23]",1355,1681,53.305841080689895,-6.272541289170738
green,"[96, 184, 23]",1342,1681,53.30584155954877,-6.27392995509131
green,"[96, 184, 23]",1329,1681,53.30584203840764,-6.275318621011881
green,"[96, 184, 23]",1316,1681,53.30584251726651,-6.276707286932453
green,"[96, 184, 23]",1303,1681,53.305842996125385,-6.2780959528530245
green,"[96, 184, 23]",1290,1681,53.30584347498426,-6.279484618773596
red,"[235, 52, 0]",1277,1681,53.30584395384313,-6.280873284694167
green,"[96, 184, 23]",1265,1681,53.3058443958667,-6.2821551301593095
green,"[96, 184, 23]",1252,1681,53.30584487472557,-6.283543796079881
green,"[96, 184, 23]",1239,1681,53.305845353584445,-6.2849324620004525
green,"[96, 184, 23]",1226,1681,53.30584583244332,-6.286321127921024
green,"[96, 184, 23]",1213,1681,53.30584631130219,-6.287709793841596
green,"[96, 184, 23]",1200,1681,53.30584679016106,-6.289098459762167
green,"[96, 184, 23]",1187,1681,53.305847269019935,-6.290487125682739
green,"[96, 184, 23]",1175,1681,53.305847711043505,-6.2917689711478815
white,"[255, 255, 255]",1162,1681,53.30584818990238,-6.293157637068452
white,"[255, 255, 255]",1149,1681,53.30584866876125,-6.294546302989024
green,"[96, 184, 23]",1136,1681,53.30584914762012,-6.295934968909595
green,"[96, 184, 23]",1123,1681,53.305849626478995,-6.297323634830167
green,"[96, 184, 23]",1110,1681,53.30585010533787,-6.298712300750738
green,"[96, 184, 23]",1097,1681,53.30585058419674,-6.30010096667131
green,"[96, 184, 23]",1471,1668,53.30666604599623,-6.260148962657355
