proper_colour_name,proper_colour,x,y,latitude,longitude
green,"[96, 184, 23]",1557,763,53.364085162962816,-6.239445491847274
red,"[235, 52, 0]",1481,763,53.36408709288937,-6.247686439146142
green,"[96, 184, 23]",1075,763,53.36409740276017,-6.291710447084831
green,"[96, 184, 23]",1063,763,53.36409770748542,-6.293011649289915
yellow,"[235, 52, 0]",1037,763,53.36409836772345,-6.295830920734265
green,"[96, 184, 23]",923,763,53.36410126261328,-6.308192341682567
green,"[96, 184, 23]",885,763,53.36410222757656,-6.3123128153320005
yellow,"[235, 52, 0]",873,763,53.36410253230181,-6.313614017537085
green,"[96, 184, 23]",860,763,53.36410286242082,-6.31502365325926
green,"[96, 184, 23]",1037,750,53.36494044760752,-6.295829942230351
green,"[96, 184, 23]",1012,750,53.36494108245178,-6.2985407801576105
green,"[96, 184, 23]",1075,737,53.36578156252831,-6.291708490077003
green,"[96, 184, 23]",1063,737,53.36578186725356,-6.293009692282087
green,"[96, 184, 23]",1037,737,53.36578252749159,-6.295828963726437
green,"[96, 184, 23]",1025,737,53.36578283221684,-6.297130165931521
green,"[96, 184, 23]",1113,725,53.3665579020734,-6.287587113193187
green,"[96, 184, 23]",987,725,53.36656110168848,-6.301249736346573
green,"[96, 184, 23]",961,712,53.367403841810585,-6.304068029287008
yellow,"[235, 52, 0]",999,699,53.368244956731374,-6.29994657713366
green,"[96, 184, 23]",961,699,53.36824592169465,-6.304067050783095
green,"[96, 184, 23]",746,699,53.3682513813553,-6.327380256957524
yellow,"[235, 52, 0]",1735,687,53.36900357142469,-6.220138605320768
green,"[96, 184, 23]",1506,687,53.36900938659813,-6.244969880734463
yellow,"[235, 52, 0]",1493,687,53.36900971671714,-6.246379516456637
green,"[96, 184, 23]",1455,687,53.36901068168042,-6.250499990106071
green,"[96, 184, 23]",1037,687,53.36902129627647,-6.295825200249844
green,"[96, 184, 23]",936,687,53.36902386104728,-6.306776985475971
green,"[96, 184, 23]",898,687,53.36902482601056,-6.310897459125405
yellow,"[235, 52, 0]",873,687,53.36902546085482,-6.313608297052665
yellow,"[235, 52, 0]",746,687,53.36902868586367,-6.327379353723141
green,"[96, 184, 23]",619,687,53.36903191087252,-6.341150410393618
yellow,"[235, 52, 0]",1506,674,53.3698514664822,-6.244968902230548
yellow,"[235, 52, 0]",1050,674,53.36986304604152,-6.294414586023756
green,"[96, 184, 23]",1037,674,53.36986337616054,-6.295824221745931
green,"[96, 184, 23]",949,674,53.36986561081234,-6.305366371249883
green,"[96, 184, 23]",746,674,53.36987076574774,-6.327378375219227
green,"[96, 184, 23]",1354,661,53.37069740621938,-6.26144981832437
green,"[96, 184, 23]",1025,661,53.37070576076985,-6.297124445447101
green,"[96, 184, 23]",999,661,53.37070642100789,-6.29994371689145
yellow,"[235, 52, 0]",873,661,53.37070962062296,-6.313606340044837
yellow,"[235, 52, 0]",860,661,53.370709950741976,-6.315015975767011
green,"[96, 184, 23]",784,661,53.37071188066853,-6.32325692306588
green,"[96, 184, 23]",1354,649,53.37147471072775,-6.261448915089988
yellow,"[235, 52, 0]",999,649,53.371483725516256,-6.299942813657068
green,"[96, 184, 23]",961,649,53.371484690479534,-6.304063287306502
green,"[96, 184, 23]",949,649,53.37148499520478,-6.305364489511587
green,"[96, 184, 23]",873,649,53.371486925131336,-6.313605436810454
green,"[96, 184, 23]",822,649,53.37148822021363,-6.319135546182063
green,"[96, 184, 23]",797,649,53.37148885505789,-6.321846384109322
yellow,"[235, 52, 0]",1367,636,53.3723164604928,-6.260038300863899
yellow,"[235, 52, 0]",1037,636,53.372324840437045,-6.29582136150372
yellow,"[235, 52, 0]",961,636,53.3723267703636,-6.304062308802588
yellow,"[235, 52, 0]",949,636,53.37232707508885,-6.3053635110076725
green,"[96, 184, 23]",771,636,53.37233159517999,-6.324664677049758
green,"[96, 184, 23]",733,636,53.37233256014326,-6.328785150699192
green,"[96, 184, 23]",949,623,53.37316915497291,-6.305362532503758
green,"[96, 184, 23]",911,623,53.37317011993619,-6.309483006153192
green,"[96, 184, 23]",733,623,53.37317464002734,-6.328784172195277
yellow,"[235, 52, 0]",1836,611,53.373923935206896,-6.209181099610221
green,"[96, 184, 23]",1735,611,53.37392649997771,-6.220132884836348
green,"[96, 184, 23]",1379,611,53.37393554016,-6.258735216920519
green,"[96, 184, 23]",784,611,53.37395064945341,-6.323253159589287
yellow,"[235, 52, 0]",746,611,53.37395161441669,-6.327373633238721
green,"[96, 184, 23]",1874,598,53.37476505012769,-6.205059647456872
