proper_colour_name,proper_colour,x,y,latitude,longitude
green,"[96, 184, 23]",1417,1612,53.3090944241234,-6.254690088072467
orange,"[235, 52, 0]",1405,1612,53.30909472884865,-6.255991290277551
green,"[96, 184, 23]",1392,1612,53.309095058967664,-6.257400925999725
green,"[96, 184, 23]",1379,1612,53.30909538908668,-6.2588105617219005
green,"[96, 184, 23]",1367,1612,53.309095693811926,-6.260111763926985
green,"[96, 184, 23]",1354,1612,53.30909602393094,-6.261521399649159
green,"[96, 184, 23]",1341,1612,53.30909635404996,-6.262931035371334
green,"[96, 184, 23]",1329,1612,53.3090966587752,-6.264232237576419
green,"[96, 184, 23]",1316,1612,53.30909698889422,-6.265641873298594
yellow,"[235, 52, 0]",1303,1612,53.30909731901323,-6.267051509020768
green,"[96, 184, 23]",1291,1612,53.30909762373848,-6.268352711225853
green,"[96, 184, 23]",1278,1612,53.309097953857496,-6.269762346948028
green,"[96, 184, 23]",1265,1612,53.30909828397651,-6.271171982670202
green,"[96, 184, 23]",1253,1612,53.30909858870176,-6.272473184875286
green,"[96, 184, 23]",1240,1612,53.30909891882077,-6.2738828205974615
yellow,"[235, 52, 0]",1227,1612,53.30909924893979,-6.275292456319637
green,"[96, 184, 23]",1215,1612,53.30909955366504,-6.27659365852472
green,"[96, 184, 23]",1202,1612,53.30909988378405,-6.278003294246895
yellow,"[235, 52, 0]",1189,1612,53.309100213903065,-6.27941292996907
red,"[235, 52, 0]",1177,1612,53.30910051862831,-6.280714132174155
green,"[96, 184, 23]",1164,1612,53.30910084874733,-6.282123767896329
yellow,"[235, 52, 0]",1151,1612,53.30910117886634,-6.283533403618504
green,"[96, 184, 23]",1139,1612,53.30910148359158,-6.284834605823589
green,"[96, 184, 23]",1126,1612,53.309101813710605,-6.286244241545763
green,"[96, 184, 23]",1113,1612,53.30910214382962,-6.287653877267938
green,"[96, 184, 23]",1063,1612,53.30910341351814,-6.293075553122456
green,"[96, 184, 23]",1050,1612,53.30910374363716,-6.294485188844631
green,"[96, 184, 23]",1037,1612,53.309104073756174,-6.295894824566806
green,"[96, 184, 23]",1025,1612,53.309104378481415,-6.29719602677189
green,"[96, 184, 23]",1012,1612,53.30910470860044,-6.298605662494065
green,"[96, 184, 23]",999,1612,53.30910503871945,-6.30001529821624
yellow,"[235, 52, 0]",987,1612,53.30910534344469,-6.301316500421324
yellow,"[235, 52, 0]",1468,1599,53.309935208925175,-6.249159000196944
yellow,"[235, 52, 0]",1455,1599,53.30993553904419,-6.250568635919119
yellow,"[235, 52, 0]",1443,1599,53.30993584376944,-6.251869838124203
yellow,"[235, 52, 0]",1430,1599,53.30993617388845,-6.253279473846377
green,"[96, 184, 23]",1417,1599,53.30993650400747,-6.254689109568552
yellow,"[235, 52, 0]",1405,1599,53.30993680873272,-6.255990311773637
green,"[96, 184, 23]",1392,1599,53.30993713885173,-6.257399947495812
green,"[96, 184, 23]",1379,1599,53.309937468970745,-6.258809583217986
red,"[235, 52, 0]",1367,1599,53.30993777369599,-6.260110785423071
yellow,"[235, 52, 0]",1316,1599,53.30993906877829,-6.26564089479468
yellow,"[235, 52, 0]",1303,1599,53.3099393988973,-6.267050530516854
green,"[96, 184, 23]",1278,1599,53.30994003374156,-6.269761368444113
yellow,"[235, 52, 0]",1265,1599,53.309940363860576,-6.2711710041662885
yellow,"[235, 52, 0]",1240,1599,53.30994099870484,-6.273881842093547
green,"[96, 184, 23]",1227,1599,53.309941328823854,-6.275291477815722
yellow,"[235, 52, 0]",1215,1599,53.3099416335491,-6.276592680020807
green,"[96, 184, 23]",1202,1599,53.30994196366812,-6.278002315742981
green,"[96, 184, 23]",1189,1599,53.30994229378713,-6.279411951465156
orange,"[235, 52, 0]",1113,1599,53.309944223713686,-6.287652898764024
yellow,"[235, 52, 0]",1101,1599,53.30994452843893,-6.288954100969108
green,"[96, 184, 23]",1088,1599,53.30994485855795,-6.290363736691283
yellow,"[235, 52, 0]",1075,1599,53.30994518867696,-6.291773372413458
yellow,"[235, 52, 0]",1063,1599,53.30994549340221,-6.293074574618542
green,"[96, 184, 23]",1050,1599,53.309945823521225,-6.294484210340717
green,"[96, 184, 23]",1037,1599,53.30994615364024,-6.295893846062892
orange,"[235, 52, 0]",1025,1599,53.30994645836549,-6.297195048267977
yellow,"[235, 52, 0]",1012,1599,53.3099467884845,-6.298604683990151
