proper_colour_name,proper_colour,x,y,latitude,longitude
yellow,"[205, 220, 57]",1341,1485,53.31732282676355,-6.262921476140789
red,"[235, 52, 0]",1303,1485,53.31732379172683,-6.267041949790223
yellow,"[205, 220, 57]",1253,1485,53.31732506141535,-6.2724636256447415
green,"[96, 184, 23]",1215,1485,53.31732602637863,-6.276584099294175
yellow,"[205, 220, 57]",1189,1485,53.31732668661666,-6.2794033707385255
yellow,"[205, 220, 57]",1177,1485,53.31732699134191,-6.28070457294361
green,"[96, 184, 23]",1164,1485,53.31732732146092,-6.282114208665784
yellow,"[205, 220, 57]",1113,1485,53.317328616543215,-6.287644318037393
red,"[235, 52, 0]",1088,1485,53.31732925138748,-6.290355155964653
yellow,"[205, 220, 57]",1037,1485,53.31733054646977,-6.295885265336261
yellow,"[205, 220, 57]",1025,1485,53.31733085119502,-6.297186467541345
green,"[96, 184, 23]",987,1485,53.31733181615829,-6.301306941190779
yellow,"[205, 220, 57]",923,1485,53.3173334413596,-6.308246686284563
yellow,"[205, 220, 57]",911,1485,53.31733374608485,-6.309547888489647
yellow,"[205, 220, 57]",898,1485,53.31733407620386,-6.310957524211822
yellow,"[205, 220, 57]",885,1485,53.31733440632288,-6.312367159933997
yellow,"[205, 220, 57]",860,1485,53.31733504116714,-6.315077997861256
yellow,"[205, 220, 57]",847,1485,53.31733537128616,-6.316487633583431
green,"[96, 184, 23]",835,1485,53.3173356760114,-6.317788835788515
yellow,"[205, 220, 57]",797,1485,53.31733664097468,-6.321909309437949
yellow,"[205, 220, 57]",708,1485,53.31733890102025,-6.331559892458992
yellow,"[205, 220, 57]",695,1485,53.31733923113927,-6.332969528181167
yellow,"[205, 220, 57]",683,1485,53.31733953586451,-6.334270730386251
yellow,"[205, 220, 57]",657,1485,53.31734019610254,-6.3370900018306
red,"[235, 52, 0]",1836,1473,53.318087561355554,-6.209245981946675
red,"[235, 52, 0]",1785,1473,53.318088856437846,-6.214776091318284
yellow,"[205, 220, 57]",1773,1473,53.31808916116309,-6.216077293523369
red,"[235, 52, 0]",1722,1473,53.318090456245386,-6.2216074028949775
orange,"[255, 152, 0]",1697,1473,53.31809109108964,-6.224318240822236
red,"[235, 52, 0]",1684,1473,53.318091421208656,-6.225727876544411
yellow,"[205, 220, 57]",1531,1473,53.31809530645554,-6.242318204659237
green,"[96, 184, 23]",1405,1473,53.31809850607061,-6.255980827812624
yellow,"[205, 220, 57]",1392,1473,53.318098836189634,-6.257390463534798
red,"[235, 52, 0]",1316,1473,53.31810076611619,-6.265631410833667
yellow,"[205, 220, 57]",1253,1473,53.31810236592372,-6.272462722410359
red,"[235, 52, 0]",1240,1473,53.31810269604274,-6.273872358132534
yellow,"[205, 220, 57]",1202,1473,53.31810366100602,-6.277992831781968
yellow,"[205, 220, 57]",1189,1473,53.31810399112504,-6.279402467504143
yellow,"[205, 220, 57]",1151,1473,53.31810495608831,-6.283522941153577
yellow,"[205, 220, 57]",1139,1473,53.31810526081355,-6.284824143358661
yellow,"[205, 220, 57]",1126,1473,53.31810559093257,-6.2862337790808365
red,"[235, 52, 0]",1088,1473,53.318106555895845,-6.29035425273027
yellow,"[205, 220, 57]",860,1473,53.31811234567551,-6.315077094626874
yellow,"[205, 220, 57]",835,1473,53.31811298051977,-6.317787932554133
green,"[96, 184, 23]",809,1473,53.3181136407578,-6.320607203998483
green,"[96, 184, 23]",797,1473,53.31811394548305,-6.321908406203566
green,"[96, 184, 23]",759,1473,53.318114910446326,-6.326028879853001
yellow,"[205, 220, 57]",721,1473,53.3181158754096,-6.330149353502435
yellow,"[205, 220, 57]",657,1473,53.31811750061091,-6.337089098596218
red,"[235, 52, 0]",1861,1460,53.31892900639536,-6.206534165515502
red,"[235, 52, 0]",1836,1460,53.31892964123962,-6.209245003442762
red,"[235, 52, 0]",1760,1460,53.318931571166175,-6.217485950741629
yellow,"[205, 220, 57]",1329,1460,53.31894251588124,-6.264220796607577
yellow,"[205, 220, 57]",1278,1460,53.31894381096353,-6.269750905979186
green,"[96, 184, 23]",1189,1460,53.3189460710091,-6.279401489000229
yellow,"[205, 220, 57]",1177,1460,53.31894637573435,-6.280702691205313
yellow,"[205, 220, 57]",1164,1460,53.31894670585336,-6.282112326927488
yellow,"[205, 220, 57]",1113,1460,53.318948000935656,-6.287642436299096
yellow,"[205, 220, 57]",1101,1460,53.3189483056609,-6.288943638504181
yellow,"[205, 220, 57]",1063,1460,53.31894927062418,-6.293064112153616
yellow,"[205, 220, 57]",1050,1460,53.3189496007432,-6.29447374787579
yellow,"[205, 220, 57]",835,1460,53.31895506040384,-6.317786954050219
yellow,"[205, 220, 57]",822,1460,53.31895539052286,-6.319196589772393
yellow,"[205, 220, 57]",809,1460,53.318955720641874,-6.3206062254945685
red,"[235, 52, 0]",746,1460,53.31895732044941,-6.327437537071262
yellow,"[205, 220, 57]",721,1460,53.31895795529367,-6.330148374998521
green,"[96, 184, 23]",657,1460,53.31895958049498,-6.337088120092305
yellow,"[205, 220, 57]",1849,1447,53.31977139100467,-6.207834389216672
red,"[235, 52, 0]",1785,1447,53.31977301620599,-6.214774134310456
yellow,"[205, 220, 57]",1760,1447,53.31977365105024,-6.217484972237715
yellow,"[205, 220, 57]",1671,1447,53.31977591109581,-6.227135555258758
